"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Probable Pitcher","Batting Order"
"19819-5427","P","Clayton","Clayton Kershaw","Kershaw","44.86666666666667","15","12400","COL@LOS","LOS","COL","","","",""
"19819-5481","P","Max","Max Scherzer","Scherzer","52.2","15","12400","CIN@WAS","WAS","CIN","","","",""
"19819-12477","P","Chris","Chris Sale","Sale","50.93333333333333","15","11800","LAA@BOS","BOS","LAA","","","",""
"19819-6311","P","Madison","Madison Bumgarner","Bumgarner","38.5","4","11000","NYM@SFG","SFG","NYM","DL","Shoulder","",""
"19819-23089","P","Dallas","Dallas Keuchel","Keuchel","43.81818181818182","11","10900","HOU@SEA","HOU","SEA","DL","Neck","",""
"19819-10978","P","Stephen","Stephen Strasburg","Strasburg","40.92857142857143","14","10900","CIN@WAS","WAS","CIN","","","Yes",""
"19819-53029","P","Robbie","Robbie Ray","Ray","42.785714285714285","14","10800","PHI@ARI","ARI","PHI","","","",""
"19819-52172","P","Noah","Noah Syndergaard","Syndergaard","34","5","10700","NYM@SFG","NYM","SFG","DL","Lat","",""
"19819-13627","P","Corey","Corey Kluber","Kluber","42.2","10","10700","MIN@CLE","CLE","MIN","","","",""
"19819-12921","P","Chris","Chris Archer","Archer","40.266666666666666","15","10400","BAL@TAM","TAM","BAL","","","Yes",""
"19819-39686","P","Carlos","Carlos Martinez","Martinez","41.2","15","10200","PIT@STL","STL","PIT","","","",""
"19819-68520","P","Michael","Michael Fulmer","Fulmer","32.92307692307692","13","10100","DET@SDP","DET","SDP","","","Yes",""
"19819-6266","P","Carlos","Carlos Carrasco","Carrasco","37.57142857142857","14","10000","MIN@CLE","CLE","MIN","","","",""
"19819-52859","P","Jacob","Jacob deGrom","deGrom","36","15","10000","NYM@SFG","NYM","SFG","","","",""
"19819-52159","P","Lance","Lance McCullers Jr.","McCullers Jr.","38.69230769230769","13","9900","HOU@SEA","HOU","SEA","DL","Back","",""
"19819-60644","P","Luis","Luis Severino","Severino","36.642857142857146","14","9800","TEX@NYY","NYY","TEX","","","",""
"19819-60639","P","Jose","Jose Berrios","Berrios","42.375","8","9700","MIN@CLE","MIN","CLE","","","",""
"19819-5369","P","Jon","Jon Lester","Lester","32.6","15","9700","CHC@MIA","CHC","MIA","","","",""
"19819-12306","P","Jake","Jake Arrieta","Arrieta","26","18","9500","CHC@MIA","CHC","MIA","","","",""
"19819-38028","P","Alex","Alex Wood","Wood","35","12","9500","COL@LOS","LOS","COL","","","Yes",""
"19819-5525","P","Cole","Cole Hamels","Hamels","27.6","5","9500","TEX@NYY","TEX","NYY","DL","Oblique","",""
"19819-16931","P","Yu","Yu Darvish","Darvish","36.666666666666664","15","9400","TEX@NYY","TEX","NYY","","","Yes",""
"19819-5202","P","Justin","Justin Verlander","Verlander","29.666666666666668","15","9300","DET@SDP","DET","SDP","","","",""
"19819-38164","P","Jimmy","Jimmy Nelson","Nelson","34.214285714285715","14","9300","MIL@ATL","MIL","ATL","","","Yes",""
"19819-5498","P","Johnny","Johnny Cueto","Cueto","31.933333333333334","15","9300","NYM@SFG","SFG","NYM","","","",""
"19819-38161","P","Chase","Chase Anderson","Anderson","33.666666666666664","15","9100","MIL@ATL","MIL","ATL","","","",""
